title,album,artist,track_number,album_artist,release_date,creation_timestamp,duration_ms,explicit,spotify_popularity,comment,rating,last_played_timestamp,genre,play_count,id
Me and Guiliani Down by the School Yard - A True Story,Louden Up Now,!!!,8,!!!,2004-06-08,2017-07-25T02:14:11Z,542893,False,,,,,,,df32c49399c2ab866d5164c8e1faa5fd
Voices Carry - Single Mix,Coming Up Close: A Retrospective,'Til Tuesday,2,'Til Tuesday,1985,2017-11-25T15:40:39Z,261266,False,,,,,,,d2e7095b5a639552035f80ae6e5fa6fc
Midnight Marauders Tour Guide,Midnight Marauders,A Tribe Called Quest,1,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,45333,False,,,,,,,aed1914e05346bc35cb578bf16c88872
Steve Biko (Stir It Up),Midnight Marauders,A Tribe Called Quest,2,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,191533,False,,,,,,,83fc54864838391cc718fdbd83f6032e
Award Tour,Midnight Marauders,A Tribe Called Quest,3,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,226440,False,,,,,,,7bb62e88441a5a7fa5cf032cc5005f29
8 Million Stories,Midnight Marauders,A Tribe Called Quest,4,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,260893,False,,,,,,,b2636f5a4a485175c641f3053d1e7591
Sucka Nigga,Midnight Marauders,A Tribe Called Quest,5,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,245080,True,,,,,,,a85a30df7c7d9f1088886ee4ef77f6ee
Midnight,Midnight Marauders,A Tribe Called Quest,6,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,265026,False,,,,,,,6a7a8d7fa12f22ed13a2181816f0125d
We Can Get Down,Midnight Marauders,A Tribe Called Quest,7,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,259120,False,,,,,,,24959192c0c0646817a4f0217d2321f5
Electric Relaxation,Midnight Marauders,A Tribe Called Quest,8,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,243800,False,,,,,,,b31e0c727fca8d236a494b78fe85e99a
Clap Your Hands,Midnight Marauders,A Tribe Called Quest,9,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,196493,False,,,,,,,aefd9a1aa43fff11a27854fc04282a47
Oh My God,Midnight Marauders,A Tribe Called Quest,10,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,208840,False,,,,,,,20c1f5d7882deb917495e9dc68926fe6
Keep It Rollin',Midnight Marauders,A Tribe Called Quest,11,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,186066,False,,,,,,,83066c6676ea01269fdce03b7f28b1c3
"The Chase, Part II",Midnight Marauders,A Tribe Called Quest,12,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,242373,False,,,,,,,c5dee376b82e056ff4ed8b15a682ae8d
Lyrics to Go,Midnight Marauders,A Tribe Called Quest,13,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,249026,False,,,,,,,9bed20066eec34dcafc8ae9df2372524
God Lives Through,Midnight Marauders,A Tribe Called Quest,14,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,255546,False,,,,,,,110a6443233effa0c818c6a3174a7aed
Push It Along,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,454280,False,,,,,,,43ba10ae696822f10a4788b493003862
Luck of Lucien,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,2,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,282520,False,,,,,,,5aab52d844edd995efb4620d807b2ff6
After Hours,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,3,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,278853,False,,,,,,,f46759cfeb6efe288ca20ef72bfd2a35
Footprints,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,4,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,240640,False,,,,,,,b690fa3c8036f1f32aa887992b61cb26
I Left My Wallet in El Segundo,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,5,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,246826,False,,,,,,,266ecd4c7d3324ec02a43aa0f11e3a1e
Pubic Enemy,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,6,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,225786,False,,,,,,,457e6315d6e6d783632ef54b1253858d
Bonita Applebum - includes 'Can I Kick It' Intro,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,7,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,229840,False,,,,,,,f7d8db4db87b559e0ed074ed01895b11
Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,8,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,251573,False,,,,,,,31c80b7e6e447192db54baa8fad80251
Youthful Expression,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,9,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,292626,False,,,,,,,52256a96d38c4ad68427ef57d667c535
Rhythm (Devoted to the Art of Moving Butts),People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,10,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,242053,False,,,,,,,305121963da26151bb2b1582842825e4
Mr. Muhammad,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,11,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,213253,False,,,,,,,24a020628c930d6a62ff8409070c35dd
Ham 'N' Eggs,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,12,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,327706,False,,,,,,,604441a564e6a099f29a9c60435aa485
Go Ahead In the Rain,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,13,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,234040,False,,,,,,,a5d347d59e48c4f905f111aa8f4c43ce
Description of a Fool,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,14,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,341693,False,,,,,,,26564d40c920bb070dcf4a373fd1107c
Bonita Applebum - Pharrell Williams Remix,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,16,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,233666,False,,,,,,,7fa12428eb4a47eeaee2dccc4d6a0a1c
Can I Kick It? - J. Cole Remix,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,17,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,169373,False,,,,,,,b84bdf815ef7ad6902f9eef22518e39e
Excursions,The Low End Theory,A Tribe Called Quest,1,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,234626,False,,,,,,,56fc757833c87a7c81b509e35e6fb723
Buggin' Out,The Low End Theory,A Tribe Called Quest,2,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,217466,False,,,,,,,035a0d0ab0679aac2ef1a675cba0fb2b
Rap Promoter,The Low End Theory,A Tribe Called Quest,3,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,133000,False,,,,,,,3e1942e7838e2a66e615f06fb9cadc44
Butter,The Low End Theory,A Tribe Called Quest,4,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,218773,False,,,,,,,6492d95b49f56e8493226994d7ef7aef
Verses from the Abstract,The Low End Theory,A Tribe Called Quest,5,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,238893,False,,,,,,,e6aa30cb024b5418bea58ee10e5876a0
Show Business,The Low End Theory,A Tribe Called Quest,6,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,233440,False,,,,,,,8e421ea34e0a8c1e84aa7dd32976322e
Vibes and Stuff,The Low End Theory,A Tribe Called Quest,7,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,257826,False,,,,,,,ac96b90b821ae25d525ee76240db1ac4
Infamous Date Rape,The Low End Theory,A Tribe Called Quest,8,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,173573,False,,,,,,,74c542be742583b4344048fd6500e9eb
Check the Rhime,The Low End Theory,A Tribe Called Quest,9,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,216693,False,,,,,,,b65f2bc0d33d289d94f36e110f02932b
Everything Is Fair,The Low End Theory,A Tribe Called Quest,10,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,178333,False,,,,,,,aba1576af01cd28002a66dd193eab1d6
Jazz (We've Got),The Low End Theory,A Tribe Called Quest,11,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,250240,False,,,,,,,a3a24039b0bf8f3acb49c07f878354ab
Skypager,The Low End Theory,A Tribe Called Quest,12,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,132226,False,,,,,,,e54a208c30c4508e1e63ce31a87865bf
What?,The Low End Theory,A Tribe Called Quest,13,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,148706,False,,,,,,,9c9286b1d6bfe1209d78c573d9602cbf
Scenario - LP Mix,The Low End Theory,A Tribe Called Quest,14,A Tribe Called Quest,1991-09-24,2017-11-25T15:50:03Z,250133,False,,,,,,,0ef0f7e99846d1c4b301642bf86cfd87
Footprints - Remix,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest and CeeLo Green,15,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,308360,False,,,,,,,f0e4312c032db3f15826947d52ffc38d
We Played Some Open Chords,A Winged Victory for the Sullen,A Winged Victory for the Sullen,1,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,378573,False,,,,,,,7a75d77d20a98e924d96fde093604584
Requiem for the Static King Part 1,A Winged Victory for the Sullen,A Winged Victory for the Sullen,2,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,165680,False,,,,,,,aa6b09762896d755f4dcb835247da830
Requiem for the Static King Part 2,A Winged Victory for the Sullen,A Winged Victory for the Sullen,3,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,457133,False,,,,,,,1f0e41496975f67e65577261ed3bd69c
Minuet for a Cheap Piano,A Winged Victory for the Sullen,A Winged Victory for the Sullen,4,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,189040,False,,,,,,,3eddffec2541a424836aa24c89c4db4a
Steep Hills of Vicodin Tears,A Winged Victory for the Sullen,A Winged Victory for the Sullen,5,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,266840,False,,,,,,,b9a36b663e94b3f48788d30c5463394b
A Symphony Pathetique,A Winged Victory for the Sullen,A Winged Victory for the Sullen,6,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,761733,False,,,,,,,5980780b498d7436f08690154742259c
All Farewells Are Sudden,A Winged Victory for the Sullen,A Winged Victory for the Sullen,7,A Winged Victory for the Sullen,2011-09-12,2017-11-25T15:54:46Z,455586,False,,,,,,,e35cd1d72fe62c6bfe8acff8d6d91fdb
Atomos I,Atomos,A Winged Victory for the Sullen,1,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,622000,False,,,,,,,d53b82c54ad7d3c5ba1b14283ce2af93
Atomos II,Atomos,A Winged Victory for the Sullen,2,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,259000,False,,,,,,,5c3f55bc4e1dc8d3dfe861bb9354ffa9
Atomos III,Atomos,A Winged Victory for the Sullen,3,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,296053,False,,,,,,,234ca3f1c0c267da7ff074e50764cc98
Atomos V,Atomos,A Winged Victory for the Sullen,4,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,252946,False,,,,,,,54df047d639c0b7fb030ac57db1a2e62
Atomos VI,Atomos,A Winged Victory for the Sullen,5,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,446546,False,,,,,,,bcea1b240bfe8f5f005bd27e6df59cbc
Atomos VII,Atomos,A Winged Victory for the Sullen,6,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,469213,False,,,,,,,b5710a87b7dd8d147a2de16e440ea6f3
Atomos VIII,Atomos,A Winged Victory for the Sullen,7,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,314280,False,,,,,,,05ecadbffe8e0ecd8ae89a5917f29513
Atomos IX,Atomos,A Winged Victory for the Sullen,8,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,256000,False,,,,,,,4e90ea4d504f1a20905575e033d760e8
Atomos X,Atomos,A Winged Victory for the Sullen,9,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,258000,False,,,,,,,44e230102afc65247a282fb293441233
Atomos XI,Atomos,A Winged Victory for the Sullen,10,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,326026,False,,,,,,,fc8846b71b86d524a8a27e5632926dd2
Atomos XII,Atomos,A Winged Victory for the Sullen,11,A Winged Victory for the Sullen,2014-10-06,2017-11-25T15:54:53Z,249946,False,,,,,,,9570c856b46a0d51993e52ccb314477e
Black Peter,Day of the Dead,ANOHNI and yMusic,16,Various Artists,2016-05-20,2018-08-07T17:02:53Z,145420,False,,,,,,,7f1207e0c8cc5698e213a05ba48c9ea3
The Law (feat. Mac Miller & Rapsody),Do What Thou Wilt.,Ab-Soul and Mac Miller and Rapsody,15,Ab-Soul,2016-12-09,2017-10-14T15:54:30Z,329207,True,,,,,,,c330e0e2b6bb63babf868a6b2fcce601
Guantanamerika,Feudalist Tarts,Alex Chilton,10,Alex Chilton,2017-03-08,2018-05-17T20:27:44Z,189666,False,,,,,,,88d51e14966b09a02c4cf7ef7d1ff1fa
Like Flies On Sherbert,Like Flies On Sherbert,Alex Chilton,10,Alex Chilton,2005,2018-04-24T20:18:06Z,128266,False,,,,,,,4e3847783cc8bc9d84ee2943c288f56b
"Introduction - Live In Juan-les-Pins, France/1965",A Love Supreme: The Complete Masters (Super Deluxe Edition),Andre Francis and John Coltrane,1,John Coltrane,1965-02,2017-11-25T17:43:14Z,74026,False,,,,,,,070db35baffe988f34a5a26ab50bd6e1
Attics of My Life,Day of the Dead,Angel Olsen,19,Various Artists,2016-05-20,2018-08-07T17:02:53Z,255898,False,,,,,,,62a344b1acd830050eb547371d62fe89
Grass,Grass,Animal Collective,1,Animal Collective,2006-01-01,2019-07-13T13:30:25Z,179586,False,,,,,,,99db66058f7136d7704573877915194a
Man Of Oil,Meeting Of The Waters,Animal Collective,2,Animal Collective,2017-05-05,2019-07-05T15:02:15Z,325155,False,,,,,,,735a17d906b2bbbf9ef7549a069c5d46
Selection Of A Place - Rio Negro Version,Meeting Of The Waters,Animal Collective,4,Animal Collective,2017-05-05,2019-07-05T15:13:57Z,496567,False,,,,,,,58f4878a9ef6c5d5bb4591d1bfdeae63
Peacebone,Peacebone,Animal Collective,1,Animal Collective,2007-08-21,2019-07-13T13:49:18Z,315173,False,,,,,,,92bd157c4282f9d726e169ecbc7d11f6
Safer,Peacebone,Animal Collective,2,Animal Collective,2007-08-21,2019-07-13T13:49:19Z,555200,False,,,,,,,a68b69327b3ef8be0e503d98029afd0f
People,People,Animal Collective,1,Animal Collective,2006,2019-07-13T13:07:39Z,381640,False,,,,,,,1d1d3d44f0b445e2525d6e4393c544d6
"People - Recorded Live in Baffalo, NY, 2005",People,Animal Collective,4,Animal Collective,2006,2019-07-13T13:19:13Z,385240,False,,,,,,,49f25f863de6841f8d9d0de69bea5974
Alvin Row,"Spirit They've Gone, Spirit They've Vanished",Animal Collective,10,Animal Collective,2000,2019-06-29T13:09:42Z,759680,False,,,,,,,c75284eef365701e20a19379b5f0962a
Who Could Win a Rabbit,Who Could Win a Rabbit,Animal Collective,1,Animal Collective,2006-01-01,2019-07-13T13:22:31Z,138840,False,,,,,,,da143c6d0ffe7ed9aa86f92871962ca5
Acrid Avid Jam Shred,...I Care Because You Do,Aphex Twin,1,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,459280,False,,,,,,,a0428b23f97b947996c32edb42882276
The Waxen Pith,...I Care Because You Do,Aphex Twin,2,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,289693,False,,,,,,,72a7312e262d9aa7395ab0b66df19fe3
Wax The Nip,...I Care Because You Do,Aphex Twin,3,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,258959,False,,,,,,,0b590159b652de9da3226925554d79b7
Icct Hedral,...I Care Because You Do,Aphex Twin,4,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,367053,False,,,,,,,7a0630f5f9fcf06f80afb8a70559ff35
Ventolin (Video Edit),...I Care Because You Do,Aphex Twin,5,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,269253,False,,,,,,,d7ecb0bd67522c800686ec9b4000b9e8
Come On You Slags,...I Care Because You Do,Aphex Twin,6,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,344666,False,,,,,,,5ebc6635ae8f5dc1237eb34bbcb7b51b
Start As You Mean To Go On,...I Care Because You Do,Aphex Twin,7,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,365373,False,,,,,,,cf2aee39fd59a33a92ce008b35e00fad
Wet Tip Hen Ax,...I Care Because You Do,Aphex Twin,8,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,317333,False,,,,,,,f708159c66bcd6796bca46fcc3123351
Mookid,...I Care Because You Do,Aphex Twin,9,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,231413,False,,,,,,,ed778c912b8ee6ed0e529d1b7d5ca702
Alberto Balsalm,...I Care Because You Do,Aphex Twin,10,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,310746,False,,,,,,,2287d46edbb97e874d83cbce274723b7
Cow Cud Is A Twin,...I Care Because You Do,Aphex Twin,11,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,333600,False,,,,,,,3b5d3cf69b71b07ea566829d43370bb2
Next Heap With,...I Care Because You Do,Aphex Twin,12,Aphex Twin,1995-04-24,2017-10-01T23:17:40Z,284946,False,,,,,,,cba970a18a768d7e3fa18d3203621327
Flim,Come To Daddy,Aphex Twin,2,Aphex Twin,1997-10-06,2018-06-28T14:38:57Z,177093,False,,,,,,,2cf229e664d173cad796051528d4b380
4,Richard D. James Album,Aphex Twin,1,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,217133,False,,,,,,,b203074b78cec2033024d4eb382740e1
Cornish Acid,Richard D. James Album,Aphex Twin,2,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,134840,False,,,,,,,a83ac48f030cba7be62b455998343c5f
Peek 82454201,Richard D. James Album,Aphex Twin,3,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,185093,False,,,,,,,64b9575b41d92833edf910faba13896c
Fingerbib,Richard D. James Album,Aphex Twin,4,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,228866,False,,,,,,,9e25eb16afca394189cdbf0c2da07bc5
Carn Marth,Richard D. James Album,Aphex Twin,5,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,153373,False,,,,,,,967f0623447ad5fddbf6a47c6c29b324
To Cure A Weakling Child,Richard D. James Album,Aphex Twin,6,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,243826,False,,,,,,,afbc7c938c3d54b74cfda135f05fb6f0
Goon Gumpas,Richard D. James Album,Aphex Twin,7,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,122466,False,,,,,,,160ebfea09fb43d565e1c6757c96231b
Yellow Calx,Richard D. James Album,Aphex Twin,8,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,184906,False,,,,,,,dbac6d78e6cda4ad2be8c5e0652bf366
Girl/Boy Song,Richard D. James Album,Aphex Twin,9,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,292826,False,,,,,,,3e8d7f386a570c4c4337edc7ff6a0b12
Logan Rock Witch,Richard D. James Album,Aphex Twin,10,Aphex Twin,1996-11-04,2017-10-01T23:17:37Z,213706,False,,,,,,,7634a3b6a271490bdc5d67886f72637d
Xtal,Selected Ambient Works 85-92,Aphex Twin,1,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,294053,False,,,,,,,e5575d7581cc230bb334a3defd3f3683
Tha,Selected Ambient Works 85-92,Aphex Twin,2,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,547133,False,,,,,,,f0c799bac12fe18b61bad120630a6d25
Pulsewidth,Selected Ambient Works 85-92,Aphex Twin,3,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,228053,False,,,,,,,55e509e8fa2e0c82654e8934e1735c94
Ageispolis,Selected Ambient Works 85-92,Aphex Twin,4,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,323186,False,,,,,,,1e737edb6759eece6f2a932cdfbbfb3a
I,Selected Ambient Works 85-92,Aphex Twin,5,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,77346,False,,,,,,,a9e8d06b59fc502081db513736ba120c
Green Calx,Selected Ambient Works 85-92,Aphex Twin,6,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,365160,False,,,,,,,45216567eedbee56ce3535480b93208c
Heliosphan,Selected Ambient Works 85-92,Aphex Twin,7,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,293800,False,,,,,,,8d70587868b3f636c1599ecf1da2e725
We Are the Music Makers,Selected Ambient Works 85-92,Aphex Twin,8,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,463520,False,,,,,,,c459d9c17d6283752277cf319417f175
Schottkey 7th Path,Selected Ambient Works 85-92,Aphex Twin,9,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,308720,False,,,,,,,d2985de5ead1d0fd9cdc29fdaf9eb26b
Ptolemy,Selected Ambient Works 85-92,Aphex Twin,10,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,434306,False,,,,,,,e4482d4dafb2f709829c5a966a14bd4f
Hedphelym,Selected Ambient Works 85-92,Aphex Twin,11,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,363920,False,,,,,,,7f9bcad4aa96ea0d87c6f2bb8af98ff0
Delphium,Selected Ambient Works 85-92,Aphex Twin,12,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,329266,False,,,,,,,74fe35c76c852958cbe49b55fd27e998
Actium,Selected Ambient Works 85-92,Aphex Twin,13,Aphex Twin,1992-02-10,2017-07-06T12:37:38Z,455000,False,,,,,,,7c95e5b6cdddf43a3fdda605a2b128fa
#1,Selected Ambient Works Volume II,Aphex Twin,1,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,447800,False,,,,,,,3584319a7b7b4f0b8a9bb595107eacd3
#13,Selected Ambient Works Volume II,Aphex Twin,1,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,440333,False,,,,,,,66040b7ea26e06cf52f3def191422971
#2,Selected Ambient Works Volume II,Aphex Twin,2,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,394240,False,,,,,,,5a96f7c7d1e5c5c111d3045aa5d0e92d
#14,Selected Ambient Works Volume II,Aphex Twin,2,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,480506,False,,,,,,,8737f3c9ee150ff673ee1d8a1e25a1a7
#3,Selected Ambient Works Volume II,Aphex Twin,3,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,464293,False,,,,,,,5ecaf3fad6d45f28abd430bf45f01551
#15,Selected Ambient Works Volume II,Aphex Twin,3,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,333960,False,,,,,,,30637ca0e49d1009c7e8ec045615f2c0
#4,Selected Ambient Works Volume II,Aphex Twin,4,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,279666,False,,,,,,,2091d400b9e91e3fcdff3e47f15192be
#16,Selected Ambient Works Volume II,Aphex Twin,4,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,285866,False,,,,,,,d825f8306789404e8965ebb81660f23c
#5,Selected Ambient Works Volume II,Aphex Twin,5,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,535266,False,,,,,,,7bbed7f381ccd431f78c498726a89923
#17,Selected Ambient Works Volume II,Aphex Twin,5,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,125106,False,,,,,,,4b4d00777bea5f5ebcec337fc2bb7ebc
#6,Selected Ambient Works Volume II,Aphex Twin,6,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,211373,False,,,,,,,085689ec9424c8693a1dd4c433daf5f0
#18,Selected Ambient Works Volume II,Aphex Twin,6,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,436933,False,,,,,,,98eeb02b157675449b1ab58ec136c9de
#7,Selected Ambient Works Volume II,Aphex Twin,7,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,531426,False,,,,,,,190ecca70d84e4372a2798fd17a4a904
#19,Selected Ambient Works Volume II,Aphex Twin,7,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,357533,False,,,,,,,9bb2c31e8b995b2bf707f6b7d18e292f
#8,Selected Ambient Works Volume II,Aphex Twin,8,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,308466,False,,,,,,,6945ae92b28c83bfa3ef3a2e047772a2
#20,Selected Ambient Works Volume II,Aphex Twin,8,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,255333,False,,,,,,,9f07bc632091bb28c2d356f2b527607f
#9,Selected Ambient Works Volume II,Aphex Twin,9,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,414706,False,,,,,,,0a7310a7e66660e4ad39e7fc0723410c
#21,Selected Ambient Works Volume II,Aphex Twin,9,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,429493,False,,,,,,,b874c4ae393e9ff3d0263d3a32e2d908
#10,Selected Ambient Works Volume II,Aphex Twin,10,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,598066,False,,,,,,,abbb0a9f9f808b3466c4c441425c3474
#22,Selected Ambient Works Volume II,Aphex Twin,10,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,450400,False,,,,,,,fb08eab82369b6d78eced660a5b3a52b
#11,Selected Ambient Works Volume II,Aphex Twin,11,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,438093,False,,,,,,,9687dc7e088c7124ec2bd66c475190d4
#23,Selected Ambient Works Volume II,Aphex Twin,11,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,687173,False,,,,,,,8f2eb1d068bf37938c7b25b21b9c9749
#12,Selected Ambient Works Volume II,Aphex Twin,12,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,162266,False,,,,,,,6c81b4810b6acc72d47167e89d02c427
#24,Selected Ambient Works Volume II,Aphex Twin,12,Aphex Twin,1994-03-07,2017-10-01T23:17:45Z,341880,False,,,,,,,e16ceb331038bb731e9f367de41d8a95
Neighborhood #1 (Tunnels),Funeral,Arcade Fire,1,Arcade Fire,2004,2017-11-26T02:33:26Z,288333,False,,,,,,,a8baa43bf855594f828aa702b7f2cb2c
Neighborhood #2 (Laika),Funeral,Arcade Fire,2,Arcade Fire,2004,2017-11-26T02:33:26Z,212000,False,,,,,,,747865f70a37c339caa475b9c860c309
